Ba+,,,,,,,,,,,,,,,,
Metastable state properties: 5d3/2 and 5d5/2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Property,Theory,Theory Ref.,Expt. ,Expt. Ref.,,,,,,,,,,,
5d3/2,Lifetime,81.5(14) s,,,,,,,,,,,,,,
5d5/2,Lifetime,30.33(47) s,,30.14(40) s,Ref4,,,,,,,,,,,
5d3/2,Quadrupole moment,2.256(11) a.u.,Ref2,,,,,,,,,,,,,
5d5/2,Quadrupole moment,3.319(15) a.u.,Ref2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Transition,Wavelength (nm),Matrix element,Units,Transition rate (s-1),Branching ratio,,,,,,,,,
5d3/2,6s1/2,E2,2051.77,12.63(11),a.u.,0.01228(20),1,,,,,,,,,
5d5/2,6s1/2,E2,1762.17,15.80(12),a.u.,0.02742(43),0.8318,,,,,,,,,
5d5/2,5d3/2,M1,12485,1.549,mB,0.005545,0.1682,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
